id,Title,Year of release,Running time,Movie Rated,Rating,Description,Director
35, Pet Sematary,1989,1h 43m,R,6.5,"After tragedy strikes, a grieving father discovers an ancient burial ground behind his home with the power to raise the dead.",Mary Lambert
36, The Return of the Living Dead,1985,1h 31m,R,7.3,"When two bumbling employees at a medical supply warehouse accidentally release a deadly gas into the air, the vapors cause the dead to rise again as zombies.",Dan O'Bannon
37, Day of the Dead,2008,1h 26m,R,4.5,When a small Colorado town is overrun by the flesh hungry dead a small group of survivors try to escape in a last ditch effort to stay alive.,Steve Miner
38, Black Swan,2010,1h 48m,R,8,"Nina is a talented but unstable ballerina on the verge of stardom. Pushed to the breaking point by her artistic director and a seductive rival, Nina's grip on reality slips, plunging her into a waking nightmare.",Darren Aronofsky
39, The Green Hornet,2011,1h 59m,PG-13,5.8,"Following the death of his father, Britt Reid, heir to his father's large company, teams up with his late dad's assistant Kato to become a masked crime fighting team.",Michel Gondry
40, xXx,2002,2h 4m,PG-13,5.8,"The US government recruits extreme sports athlete Xander Cage to infiltrate a Russian criminal ring, which is plotting the destruction of the world.",Rob Cohen
41, The Hangover,2009,1h 40m,R,7.7,"Three buddies wake up from a bachelor party in Las Vegas, with no memory of the previous night and the bachelor missing. They make their way around the city in order to find their friend before his wedding.",Todd Phillips
42, Night of the Living Dead,1990,1h 32m,R,6.8,"When the unburied dead return to life and seek human victims, seven refugees shelter in a house in the Pennsylvanian countryside.",Tom Savini
43, The Fast and the Furious: Tokyo Drift,2006,1h 44m,PG-13,6.1,A teenager becomes a major competitor in the world of drift racing after moving in with his father in Tokyo to avoid a jail sentence in America.,Justin Lin
44, A Clockwork Orange,1971,2h 16m,R,8.2,Alex DeLarge and his droogs barbarize a decaying near-future.,Stanley Kubrick
45, Aliens,1986,2h 17m,R,8.4,"Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring.",James Cameron
46, Requiem for a Dream,2000,1h 42m,NC-17,8.3,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep..,Darren Aronofsky
47, The Prestige,2006,2h 10m,PG-13,8.5,"After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",Christopher Nolan
48, Reservoir Dogs,1992,1h 39m,R,8.3,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.",Quentin Tarantino
49, Back to the Future,1985,1h 56m,PG,8.5,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.",Robert Zemeckis
50, Monty Python and the Holy Grail,1975,1h 31m,PG,8.2,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.",Terry Gilliam
51, The Green Mile,1999,3h 9m,R,8.6,"A tale set on death row, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the lead guard, Paul Edgecombe, recognizes John's gift, he tries to help stave off the condemned man's execution.",Frank Darabont
52, Braveheart,1995,2h 58m,R,8.3,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,Mel Gibson
53, 2001: A Space Odyssey,1968,2h 29m,G,8.3,"After uncovering a mysterious artifact buried beneath the Lunar surface, a spacecraft is sent to Jupiter to find its origins: a spacecraft manned by two men and the supercomputer HAL 9000.",Stanley Kubrick
54, Downfall,2004,2h 36m,R,8.2,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.",Oliver Hirschbiegel
55, Gladiator,2000,2h 35m,R,8.5,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,Ridley Scott
56, Inglourious Basterds,2009,2h 33m,R,8.4,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",Quentin Tarantino
57, Harry Potter and the Deathly Hallows: Part 1,2010,2h 26m,PG-13,7.7,"As Harry, Ron and Hermione race against time and evil to destroy the Horcruxes, they uncover the existence of the three most powerful objects in the wizarding world: the Deathly Hallows.",David Yates
58, The Dark Knight,2008,2h 32m,PG-13,9,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness.",Christopher Nolan
59, The Mechanic,2011,1h 33m,R,6.5,An elite hitman teaches his trade to an apprentice who has a connection to one of his previous victims.,Simon West
60, The Social Network,2010,2h,PG-13,7.8,"As Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, he is sued by the twins who claimed he stole their idea and by the co-founder who was later squeezed out of the business.",David Fincher
61, Avatar,2009,2h 42m,PG-13,7.9,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,James Cameron
62, Scott Pilgrim vs,2010,1h 52m,PG-13,7.6,"In a magically realistic version of Toronto, a young man must defeat his new girlfriend's seven evil exes one by one in order to win her heart.",Edgar Wright
63, Kick-Ass,2010,1h 57m,R,7.6,"Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a superhero, even though he has no powers, training or meaningful reason to do so.",Matthew Vaughn
64, Due Date,2010,1h 35m,R,6.5,High-strung father-to-be Peter Highman is forced to hitch a ride with aspiring actor Ethan Tremblay on a road trip in order to make it to his child's birth on time.,Todd Phillips
65, The Other Guys,2010,1h 47m,PG-13,6.6,"Two mismatched New York City detectives seize an opportunity to step up like the city's top cops, whom they idolize, only things don't quite go as planned.",Adam McKay
66, Twilight,2008,2h 2m,PG-13,5.3,"When Bella Swan moves to a small town in the Pacific Northwest, she falls in love with Edward Cullen, a mysterious classmate who reveals himself to be a 108-year-old vampire.",Catherine Hardwicke
67, Fight Club,1999,2h 19m,R,8.8,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,David Fincher
68, Batman Begins,2005,2h 20m,PG-13,8.2,"After witnessing his parents' death, Bruce learns the art of fighting to confront injustice. When he returns to Gotham as Batman, he must stop a secret society that intends to destroy the city.",Christopher Nolan
