id,Title,Year of release,Running time,Movie Rated,Rating,Description,Director
154, Alien,1979,1h 57m,R,8.5,"After investigating a mysterious transmission of unknown origin, the crew of a commercial spacecraft encounters a deadly lifeform.",Ridley Scott
155, The Last Airbender,2010,1h 43m,PG,4,"Aang, a young successor to a long line of Avatars, must master all four elements and stop the Fire Nation from enslaving the Water Tribes and the Earth Kingdom.",M. Night Shyamalan
156, Stardust,2007,2h 7m,PG-13,7.6,"In a countryside town bordering on a magical land, a young man makes a promise to his beloved that he'll retrieve a fallen star by venturing into the magical realm.",Matthew Vaughn
157, Day of the Dead,1985,1h 41m,Not Rated,7.1,"As the world is overrun by zombies, a group of scientists and military personnel sheltering in an underground bunker in Florida must decide on how they should deal with the undead horde.",George A. Romero
158, Fido,2006,1h 33m,R,6.7,"In an Earthly world resembling the 1950s, a cloud of space radiation has shrouded the planet, resulting in the dead becoming zombies that desire live human flesh. A company called Zomcon has been able to control the zombie population. Zombies can be temporarily neutralized by being shot, but can only be permanently neutralized by their brain being destroyed. Their ultimate disposal is through cremation, or burial, the latter which requires decapitation with the head being buried separately from the body. Conversely, Zomcon has created the domestication collar, when activated and placed on a zombie makes the zombie controllable, and thus an eternally productive creature within society. Because all dead initially become zombies, the elderly are viewed negatively and suspectly. And all people, adult or child, learn to shoot to kill to protect society. Zomcon is the go to organization for all things zombie. In the town of Willard, the Robinsons - father Bill (Dylan Baker), mother Helen (Carrie-Anne Moss), and adolescent son Timmy (Kesun Loder) - are one family who don't own a zombie as a domestic, since Bill is afraid of zombies, as, when he was a child, he had to shoot his own zombie father, who tried to eat him. Bill has thus become fascinated with funerals to see zombies put away permanently. But Helen feels pressured to get a zombie when Zomcon's new head of security in Willard, the officious Jonathan Bottoms (Henry Czerny), moves into the neighborhood with his family. Never having had to deal with a zombie directly, Timmy is initially wary of their zombie. But as a lonely child who has no friends and is often bullied, Timmy eventually befriends their zombie, who he names Fido (Sir Billy Connolly), as he treats the zombie much like a faithful pet dog. Timmy protects Fido at all cost, even after Fido, due to no fault of its own, is implicated in some deaths, which creates a mini-wave of loose zombies unknown to Zomcon. But Fido may play a larger role within the family as a companion for Helen, who is largely neglected by Bill, since he sees human affection as ultimately resulting in such difficult issues as what happened between him and his own father. With Timmy and Helen treating Fido with kindness, Fido, in turn, may prove that not all zombies, even when without their domestication collar, are out to kill anyone and everyone in their path.",Andrew Currie
159, Wedding Crashers,2005,1h 59m,R,7,"John Beckwith and Jeremy Grey, a pair of committed womanizers who sneak into weddings to take advantage of the romantic tinge in the air, find themselves at odds with one another when John meets and falls for Claire Cleary.",David Dobkin
160, The Day the Earth Stood Still,2008,1h 44m,PG-13,5.5,A remake of the 1951 classic science fiction film about an alien visitor and his giant robot counterpart who visit Earth.,Scott Derrickson
161, Star Wars: Episode VI - Return of the Jedi,1983,2h 11m,PG,8.3,"After rescuing Han Solo from Jabba the Hutt, the Rebel Alliance attempts to destroy the second Death Star while Luke struggles to help Darth Vader back from the dark side.",Richard Marquand
162, Jurassic Park,1993,2h 7m,PG-13,8.2,"An industrialist invites some experts to visit his theme park of cloned dinosaurs. After a power failure, the creatures run loose, putting everyone's lives, including his grandchildren's, in danger.",Steven Spielberg
163, Role Models,2008,1h 39m,R,6.8,Wild behavior forces a pair of energy drink reps to enroll in a Big Brother program.,David Wain
164, The Curious Case of Benjamin Button,2008,2h 46m,PG-13,7.8,"Benjamin Button, born in 1918 with the physical state of an elderly man, ages in reverse. He experiences love and break-ups, ecstasy and sorrow, and timelessness by the time he dies in 2003 as a baby.",David Fincher
165, The Boy in the Striped Pajamas,2008,1h 34m,PG-13,7.7,"Through the innocent eyes of Bruno, the eight-year-old son of the commandant at a German concentration camp, a forbidden friendship with a Jewish boy on the other side of the camp fence has startling and unexpected consequences.",Mark Herman
166, Harry Potter and the Chamber of Secrets,2002,2h 41m,PG,7.4,"Harry Potter lives his second year at Hogwarts with Ron and Hermione when a message on the wall announces that the legendary Chamber of Secrets has been opened. The trio soon realize that, to save the school, it will take a lot of courage.",Chris Columbus
167, Star Wars: Episode II - Attack of the Clones,2002,2h 22m,PG,6.6,"Ten years after initially meeting, Anakin Skywalker shares a forbidden romance with Padmé Amidala, while Obi-Wan Kenobi discovers a secret clone army crafted for the Jedi.",George Lucas
168, Million Dollar Baby,2004,2h 12m,PG-13,8.1,"Frankie, an ill-tempered old coach, reluctantly agrees to train aspiring boxer Maggie. Impressed with her determination and talent, he helps her become the best and the two soon form a close bond.",Clint Eastwood
169, The Devil Wears Prada,2006,1h 49m,PG-13,6.9,"A smart but sensible new graduate lands a job as an assistant to Miranda Priestly, the demanding editor-in-chief of a high fashion magazine.",David Frankel
170, The 40-Year-Old Virgin,2005,1h 56m,R,7.1,"Goaded by his buddies, a nerdy guy who's never ""done the deed"" only finds the pressure mounting when he meets a single mother.",Judd Apatow
171, Tekken,2010,1h 32m,R,4.8,Jin Kazama witnesses the death of his mother Jun by Tekken in the slums known as Anvil. After finding a Tekken ID he decides to seek out vengeance for his mother's death.,Dwight H. Little
172, P,2007,2h 6m,PG-13,7,A young widow discovers that her late husband has left her 10 messages intended to help ease her pain and start a new life.,Richard LaGravenese
173, Paranormal Activity 2,2010,1h 31m,R,5.7,"After experiencing what they think are a series of ""break-ins"", a family sets up security cameras around their home, only to realize that the events unfolding before them are more sinister than they seem.",Tod Williams
174, Gangs of New York,2002,2h 47m,R,7.5,"In 1862, Amsterdam Vallon returns to the Five Points area of New York City seeking revenge against Bill the Butcher; his father's killer.",Martin Scorsese
175, The Bourne Identity,2002,1h 59m,PG-13,7.8,"A man is picked up by a fishing boat, bullet-riddled and suffering from amnesia, before racing to elude assassins and attempting to regain his memory.",Doug Liman
176, Dear John,2010,1h 48m,PG-13,6.3,A romantic drama about a soldier who falls for a conservative college student while he's home on leave.,Lasse Hallström
177, Ghost Rider,2007,1h 50m,PG-13,5.3,"When motorcycle rider Johnny Blaze sells his soul to the Devil to save his father's life, he is transformed into the Ghost Rider, the Devil's own bounty hunter, and is sent to hunt down sinners.",Mark Steven Johnson
178, Catch Me If You Can,2002,2h 21m,PG-13,8.1,"Barely 17 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.",Steven Spielberg
179, Paranormal Activity,2007,1h 26m,R,6.3,"After moving into a suburban home, a couple becomes increasingly disturbed by a nightly demonic presence.",Oren Peli
180, Jumper,2008,1h 28m,PG-13,6.1,A young man with teleportation abilities suddenly finds himself in the middle of an ancient war between those like him and their sworn annihilators.,Doug Liman
181, Blow,2001,2h 4m,R,7.5,"The story of how George Jung, along with the Medellín Cartel headed by Pablo Escobar, established the American cocaine market in the 1970s in the United States.",Ted Demme
182, Hot Fuzz,2007,2h 1m,R,7.8,"An overachieving London police sergeant is transferred to a village where the easygoing officers object to his fervor for regulations, all while a string of grisly murders strikes the town.",Edgar Wright
183, Hancock,2008,1h 32m,R,6.4,Hancock is a superhero whose ill-considered behavior regularly causes damage in the millions. He changes when the person he saves helps him improve his public image.,Peter Berg
184, Case 39,2009,1h 49m,R,6.2,"A social worker fights to save a girl from her abusive parents, only to discover that the situation is more dangerous than she ever expected.",Christian Alvart
185, Conan the Barbarian,1982,2h 9m,R,6.9,A powerful warrior seeks to avenge the genocide of his people and the murder of his parents at the hands of a snake cult.,John Milius
186, Dumb and Dumber,1994,1h 47m,PG-13,7.3,"After a woman leaves a briefcase at the airport terminal, a dumb limo driver and his dumber friend set out on a hilarious cross-country road trip to Aspen to return it.",Peter Farrelly
187, Sweeney Todd: The Demon Barber of Fleet Street,2007,1h 56m,R,7.3,"The legendary tale of a barber who returns from wrongful imprisonment to 1840s London, bent on revenge for the rape and death of his wife, and resumes his trade while forming a sinister partnership with his fellow tenant, Mrs. Lovett.",Tim Burton
188, National Treasure,2004,2h 11m,PG,6.9,A historian races to find the legendary Templar Treasure before a team of mercenaries.,Jon Turteltaub
189, Daybreakers,2009,1h 38m,R,6.4,"In the year 2019, a plague has transformed almost every human into vampires. Faced with a dwindling blood supply, the fractured dominant race plots their survival; meanwhile, a researcher works with a covert band of vamps on a way to save humankind.",Michael Spierig
190, Shooter,2007,2h 4m,R,7.1,"An expert marksman living in exile, is coaxed back into action after learning of a plot to kill the president. Now on the run after being double crossed for the assasination attempt he was trying to prevent, he sets out for the real killer, and the truth.",Antoine Fuqua
191, Mortal Kombat,1995,1h 41m,PG-13,5.8,Three martial artists are forced to battle demonic adversaries in another dimension with the fate of the world hanging in the balance.,Paul W.S. Anderson
192, The Illusionist,2006,1h 50m,PG-13,7.5,"In turn-of-the-century Vienna, a magician uses his abilities to secure the love of a woman far above his social standing.",Neil Burger
193, Spider-Man 2,2004,2h 7m,PG-13,7.5,Peter Parker is beset with troubles in his failing personal life as he battles a former brilliant scientist named Otto Octavius.,Sam Raimi
194, The Butterfly Effect,2004,1h 53m,R,7.6,"Evan Treborn suffers blackouts during significant events of his life. As he grows up, he finds a way to remember these lost memories and a supernatural way to alter his life by reading his journal.",Eric Bress
195, Pearl Harbor,2001,3h 3m,PG-13,6.2,A tale of war and romance mixed in with history. The story follows two lifelong friends and a beautiful nurse who are caught up in the horror of an infamous Sunday morning in 1941.,Michael Bay
196, Superman,1978,2h 23m,PG,7.4,"An alien orphan is sent from his dying planet to Earth, where he grows up to become his adoptive home's first and greatest superhero.",Richard Donner
197, Batman,1989,2h 6m,PG-13,7.5,"The Dark Knight of Gotham City begins his war on crime with his first major enemy being Jack Napier, a criminal who becomes the clownishly homicidal Joker.",Tim Burton
198, Saw 3D,2010,1h 30m,R,5.5,"As a deadly battle rages over Jigsaw's brutal legacy, a group of Jigsaw survivors gathers to seek the support of self-help guru and fellow survivor Bobby Dagen, a man whose own dark secrets unleash a new wave of terror.",Kevin Greutert
199, Inside Man,2006,2h 9m,R,7.6,"A police detective, a bank robber, and a high-power broker enter high-stakes negotiations after the criminal's brilliant heist spirals into a hostage situation.",Spike Lee
200, Return of the Living Dead II,1988,1h 29m,R,5.7,"Curious kids unearth the barrels that previously helped revive the dead, which proves the second time's an undead charm.",Ken Wiederhorn
201, Planet of the Apes,2001,2h,PG-13,5.7,"In 2029, an Air Force astronaut crash-lands on a mysterious planet where evolved, talking apes dominate a race of primitive humans.",Tim Burton
202, The Bourne Supremacy,2004,1h 48m,PG-13,7.7,"When Jason Bourne is framed for a CIA operation gone awry, he is forced to resume his former life as a trained assassin to survive.",Paul Greengrass
203, Cloverfield,2008,1h 25m,PG-13,7,A group of friends venture deep into the streets of New York on a rescue mission during a rampaging monster attack.,Matt Reeves
204, Scream 3,2000,1h 56m,R,5.7,"While Sidney and her friends visit the Hollywood set of Stab 3, the third film based on the Woodsboro murders, another Ghostface killer rises to terrorize them.",Wes Craven
205, Orphan,2009,2h 3m,R,7,A husband and wife who recently lost their baby adopt a 9-year-old girl who is not nearly as innocent as she appears.,Jaume Collet-Serra
206, Angels & Demons,2009,2h 18m,PG-13,6.7,Harvard symbologist Robert Langdon works with a nuclear physicist to solve a murder and prevent a terrorist act against the Vatican during one of the significant events within the church.,Ron Howard
207, Team America: World Police,2004,1h 38m,R,7.2,"Popular Broadway actor Gary Johnston is recruited by the elite counter-terrorism organization Team America: World Police. As the world begins to crumble around him, he must battle with terrorists, celebrities and falling in love.",Trey Parker
208, Scream 2,1997,2h,R,6.3,"Two years after the first series of murders, as Sidney acclimates to college life, someone donning the Ghostface costume begins a new string of killings.",Wes Craven
209, Training Day,2001,2h 2m,R,7.8,A rookie cop spends his first day as a Los Angeles narcotics officer with a rogue detective who isn't what he appears to be.,Antoine Fuqua
210, Hitman,2007,1h 34m,R,6.2,"A gun-for-hire known only as Agent 47 hired by a group known only as 'The Organization' is ensnared in a political conspiracy, which finds him pursued by both Interpol and the Russian military as he treks across Russia and Eastern Europe.",Xavier Gens
211, Underworld,2003,2h 1m,R,7,"Selene, a vampire warrior, is entrenched in a conflict between vampires and werewolves, while falling in love with Michael, a human who is sought by werewolves for unknown reasons.",Len Wiseman
212, Predator,1987,1h 47m,R,7.8,A team of commandos on a mission in a Central American jungle find themselves hunted by an extraterrestrial warrior.,John McTiernan
213, Shrek,2001,1h 30m,PG,7.9,"A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back.",Andrew Adamson
214, Running Scared,2006,2h 2m,R,7.3,"A low-ranking thug is entrusted by his crime boss to dispose of a gun that killed corrupt cops, but things get out of control when the gun ends up in wrong hands.",Wayne Kramer
215, The Dead Next Door,1989,1h 18m,Unrated,5,An elite anti-Zombie team is assembled by the Government to cope with an ever-growing undead infection and the religious cult zealots who fanatically protect the festering foes.,J.R. Bookwalter
216, Kill Bill: Vol,2004,2h 17m,R,8,"The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd, and the treacherous, one-eyed Elle.",Quentin Tarantino
217, Saw,2004,1h 43m,R,7.6,"Two men awaken to find themselves on the opposite sides of a dead body, each with specific instructions to kill the other or face consequences. These two are the latest victims of the Jigsaw Killer.",James Wan
218, From Dusk Till Dawn,1996,1h 48m,R,7.2,"Two criminals and their hostages unknowingly seek temporary refuge in a truck stop populated by vampires, with chaotic results.",Robert Rodriguez
219, Zodiac,2007,2h 37m,R,7.7,"Between 1968 and 1983, a San Francisco cartoonist becomes an amateur detective obsessed with tracking down the Zodiac Killer, an unidentified individual who terrorizes Northern California with a killing spree.",David Fincher
220, Yes Man,2008,1h 44m,PG-13,6.8,"A man challenges himself to say ""yes"" to everything.",Peyton Reed
221, Fantastic Four,2005,1h 46m,PG-13,5.7,"A group of astronauts gain superpowers after a cosmic radiation exposure and must use them to oppose the plans of their enemy, Doctor Victor Von Doom.",Tim Story
222, The Matrix Reloaded,2003,2h 18m,R,7.2,"Freedom fighters Neo, Trinity and Morpheus continue to lead the revolt against the Machine Army, unleashing their arsenal of extraordinary skills and weaponry against the systematic forces of repression and exploitation.",Lana Wachowski
223, The Italian Job,2003,1h 51m,PG-13,7,"After being betrayed and left for dead in Italy, Charlie Croker and his team plan an elaborate gold heist against their former ally.",F. Gary Gray
224, Eagle Eye,2008,1h 58m,PG-13,6.6,"Jerry and Rachel are two strangers thrown together by a mysterious phone call from a woman they have never met. Threatening their lives and family, she pushes Jerry and Rachel into a series of increasingly dangerous situations, using the technology of everyday life to track and control their every move.",D.J. Caruso
225, The Day After Tomorrow,2004,2h 4m,PG-13,6.5,"Jack Hall, paleoclimatologist, must make a daring trek from Washington, D.C. to New York City to reach his son, trapped in the cross-hairs of a sudden international storm which plunges the planet into a new Ice Age.",Roland Emmerich
226, 17 Again,2009,1h 42m,PG-13,6.4,Mike O'Donnell is ungrateful for how his life turned out. He gets a chance to rewrite his life when he tried to save a janitor near a bridge and jumped after him into a time vortex.,Burr Steers
227, Man on Fire,2004,2h 26m,R,7.7,"In Mexico City, a former CIA operative swears vengeance on those who committed an unspeakable act against the family he was hired to protect.",Tony Scott
228, Lord of War,2005,2h 2m,R,7.6,An arms dealer confronts the morality of his work as he is being chased by an INTERPOL Agent.,Andrew Niccol
229, Remember the Titans,2000,1h 53m,PG,7.8,"In 1971 Virginia high school football was everything to the people of Alexandria. But when the school board was forced to integrate an all-black school with an all-white one, the very foundation of football's tradition was put to the test.",Boaz Yakin
230,21,2008,2h 3m,PG-13,6.8,"Inspired by real events and people, 21 is about six MIT students who become trained to be experts in card counting in Black Jack and subsequently took Vegas casinos for millions in winnings.",Robert Luketic
231, Moulin Rouge!,2001,2h 7m,PG-13,7.6,A poor Bohemian poet in 1890s Paris falls for a beautiful courtesan and nightclub star coveted by a jealous duke.,Baz Luhrmann
232, New Kids Turbo,2010,1h 24m,,6.4,Five friends from 'Maaskantje' are getting fired because of the economic crisis. They decide that they won't pay for anything anymore.,Steffen Haars
233, The Haunted Mansion,2003,1h 28m,PG,5.2,"A realtor and his wife and children are summoned to a mansion, which they soon discover is haunted, and while they attempt to escape, he learns an important lesson about the family he has neglected.",Rob Minkoff
234, X2: X-Men United,2003,2h 14m,PG-13,7.4,"When anti-mutant Colonel William Stryker kidnaps Professor X and attacks his school, the X-Men must ally with their archenemy Magneto to stop him.",Bryan Singer
235, The Da Vinci Code,2006,2h 29m,PG-13,6.6,"A murder inside the Louvre, and clues in Da Vinci paintings, lead to the discovery of a religious mystery protected by a secret society for two thousand years, which could shake the foundations of Christianity.",Ron Howard
236, Ocean's Thirteen,2007,2h 2m,PG-13,6.9,"Danny Ocean rounds up the boys for a third heist after casino owner Willy Bank double-crosses one of the original eleven, Reuben Tishkoff.",Steven Soderbergh
237, 8 Mile,2002,1h 50m,R,7.2,"Follows a young rapper in the Detroit area, struggling with every aspect of his life; he wants to make it big but his friends and foes make this odyssey of rap harder than it may seem.",Curtis Hanson
238, Collateral,2004,2h,R,7.5,A cab driver finds himself the hostage of an engaging contract killer as he makes his rounds from hit to hit during one night in Los Angeles.,Michael Mann
239, The Chronicles of Riddick,2004,1h 59m,R,6.6,"The wanted criminal Richard Bruno Riddick arrives on a planet called Helion Prime and finds himself up against an invading empire called the Necromongers, an army that plans to convert or kill all humans in the universe.",David Twohy
240, Perfume: The Story of a Murderer,2006,2h 27m,R,7.5,"Jean-Baptiste Grenouille, born with a superior olfactory sense, creates the world's finest perfume. His work, however, takes a dark turn as he searches for the ultimate scent.",Tom Tykwer
241, Get Smart,2008,1h 50m,PG-13,6.5,"Maxwell Smart, a highly intellectual but bumbling spy working for the CONTROL agency, is tasked with preventing a terrorist attack from rival spy agency KAOS.",Peter Segal
242, Charlie and the Chocolate Factory,2005,1h 55m,PG,6.7,"Charlie, a young boy from an impoverished family, and four other kids win a tour of an amazing chocolate factory run by an imaginative chocolatier, Willy Wonka, and his staff of Oompa-Loompas.",Tim Burton
243, National Treasure: Book of Secrets,2007,2h 4m,PG,6.5,Benjamin Gates must follow a clue left in John Wilkes Booth's diary to prove his ancestor's innocence in the assassination of Abraham Lincoln.,Jon Turteltaub
244, Starship Troopers,1997,2h 9m,R,7.3,"Humans, in a fascist militaristic future, wage war with giant alien bugs.",Paul Verhoeven
245, The Devil's Advocate,1997,2h 24m,R,7.5,An exceptionally-adept Florida lawyer is offered a job at a high-end New York City law firm with a high-end boss--the biggest opportunity of his career to date.,Taylor Hackford
246," I, Robot",2004,1h 55m,PG-13,7.1,"In 2035, a technophobic cop investigates a crime that may have been perpetrated by a robot, which leads to a larger threat to humanity.",Alex Proyas
247, Scary Movie,2000,1h 28m,R,6.3,"A year after disposing of the body of a man they accidentally killed, a group of dumb teenagers are stalked by a bumbling serial killer.",Keenen Ivory Wayans
248, True Lies,1994,2h 21m,R,7.3,"A fearless, globe-trotting, terrorist-battling secret agent has his life turned upside down when he discovers his wife might be having an affair with a used-car salesman while terrorists smuggle nuclear war heads into the United States.",James Cameron
249, Twister,1996,1h 53m,PG-13,6.5,Two storm chasers on the brink of divorce must work together to create an advanced weather alert system by putting themselves in the cross-hairs of extremely violent tornadoes.,Jan de Bont
250, Mulan,1998,1h 27m,G,7.7,"To save her father from death in the army, a young maiden secretly goes in his place and becomes one of China's greatest heroines in the process.",Tony Bancroft
251, Untraceable,2008,1h 41m,R,6.2,"FBI agent Jennifer Marsh is tasked with hunting down a seemingly untraceable serial killer who posts live videos of his victims on the Internet. As time runs out, the cat and mouse chase becomes more personal.",Gregory Hoblit
252, Transporter 2,2005,1h 27m,R,6.3,"Transporter Frank Martin, surfaces in Miami, Florida and is implicated in the kidnapping of the young son of a powerful USA official.",Louis Leterrier
253, Rush Hour,1998,1h 38m,PG-13,7,"A loyal and dedicated Hong Kong Inspector teams up with a reckless and loudmouthed L.A.P.D. detective to rescue the Chinese Consul's kidnapped daughter, while trying to arrest a dangerous crime lord along the way.",Brett Ratner
254, Saw VI,2009,1h 30m,R,6,"Agent Strahm is dead, and FBI agent Erickson draws nearer to Hoffman. Meanwhile, a pair of insurance executives find themselves in another game set by Jigsaw.",Kevin Greutert
255, Mad Max,1979,1h 28m,R,6.8,"In a self-destructing world, a vengeful Australian policeman sets out to stop a violent motorcycle gang.",George Miller
256, Final Destination 2,2003,1h 30m,R,6.2,Death is stalking Kimberly Corman and multiple survivors of a deadly highway accident.,David R. Ellis
257, Ghost Town,2008,1h 42m,PG-13,6.7,"Bertram Pincus is a man whose people skills leave much to be desired. When Pincus dies unexpectedly, but is miraculously revived after seven minutes, he wakes up to discover that he now has the annoying ability to see ghosts.",David Koepp
258, Flightplan,2005,1h 38m,PG-13,6.3,"A bereaved woman and her daughter are flying home from Berlin to America. At 30,000 feet, the child vanishes, and nobody will admit she was ever on the plane.",Robert Schwentke
259, Street Kings,2008,1h 49m,R,6.8,"An undercover cop, disillusioned by the death of his wife, is implicated in the murder of an officer and must struggle to clear himself.",David Ayer
260, Rambo,2008,1h 32m,R,7,"In Thailand, John Rambo joins a group of mercenaries to venture into war-torn Burma, and rescue a group of Christian aid workers who were kidnapped by the ruthless local infantry unit.",Sylvester Stallone
261, Pet Sematary II,1992,1h 40m,R,4.9,"A teenage boy and his father move to his recently-deceased mother's hometown, where they encounter the ancient Native American cemetery with the power to raise the dead.",Mary Lambert
262, A Knight's Tale,2001,2h 12m,PG-13,7,"After his master dies, a peasant squire, fueled by his desire for food and glory, creates a new identity for himself as a knight.",Brian Helgeland
263, The Ring,2002,1h 55m,PG-13,7.1,A journalist must investigate a mysterious videotape which seems to cause the death of anyone one week to the day after they view it.,Gore Verbinski
264, Babel,2006,2h 23m,R,7.5,"Tragedy strikes a married couple on vacation in the Moroccan desert, which jump starts an interlocking story involving four different families.",Alejandro G. Iñárritu
265, REC,2007,1h 18m,R,7.4,A television reporter and cameraman follow emergency workers into a dark apartment building and are quickly locked inside with something terrifying.,Jaume Balagueró
266, Alexander,2004,2h 55m,R,5.6,"Alexander, the King of Macedonia and one of the greatest army leaders in the history of warfare, conquers much of the known world.",Oliver Stone
267, Not Another Teen Movie,2001,1h 29m,R,5.8,A sendup of all the teen movies that have accumulated in the past two decades.,Joel Gallen
268, The Tournament,2009,1h 35m,R,6,"A tournament is watched by dozens of wealthy men betting on which one of the 30 assassins will survive the next 24 hours ""kill or die"" and claim the USD10,000,000 prize. It takes place in an English town with plenty of CCTVs.",Scott Mann
269, The Last Samurai,2003,2h 34m,R,7.8,"In 19th century Japan, Nathan Algren, a US army captain, is hired by the Japanese emperor to train his army in the modern warfare techniques. Captain Algren finds himself trapped in a struggle between two eras and two worlds.",Edward Zwick
270, Underworld: Rise of the Lycans,2009,1h 32m,R,6.5,"A prequel centered on the origins of the centuries-old feud between the race of aristocratic vampires and their former slaves, the Lycans.",Patrick Tatopoulos
271, Hitch,2005,1h 58m,PG-13,6.6,A smooth-talking man falls for a hardened columnist while helping a shy accountant woo a beautiful heiress.,Andy Tennant
272, What Happens in Vegas,2008,1h 39m,PG-13,6.1,"A man and a woman are compelled, for legal reasons, to live life as a couple for a limited period of time. At stake is a large amount of money.",Tom Vaughan
273, Edward Scissorhands,1990,1h 45m,PG-13,7.9,The solitary life of an artificial man - who was incompletely constructed and has scissors for hands - is upended when he is taken in by a suburban family.,Tim Burton
274, The Bucket List,2007,1h 37m,PG-13,7.4,Two terminally ill men escape from a cancer ward and head off on a road trip with a wish list of to-dos before they die.,Rob Reiner
275, King Kong,2005,3h 7m,PG-13,7.2,"A greedy film producer assembles a team of moviemakers and sets out for the infamous Skull Island, where they find more than just cannibalistic natives.",Peter Jackson
276, Fantastic Four: Rise of the Silver Surfer,2007,1h 32m,PG,5.6,The Fantastic Four learn that they aren't the only super-powered beings in the universe when they square off against the powerful Silver Surfer and the planet-eating Galactus.,Tim Story
277, The Holiday,2006,2h 16m,PG-13,7,"Amanda lives in LA and is a movie trailer editor. Iris lives in Surrey and is a journalist. The two decide to swap houses for two weeks at Christmas - both trying to forget their troubled love lives, until love finds them anyways.",Nancy Meyers
278, Ocean's Twelve,2004,2h 5m,PG-13,6.5,Daniel Ocean recruits one more team member so he can pull off three major European heists in this sequel to Ocean's Eleven (2001).,Steven Soderbergh
279, Terminator 3: Rise of the Machines,2003,1h 49m,R,6.3,A machine from a post-apocalyptic future travels back in time to protect a man and a woman from an advanced robotic assassin to ensure they both survive a nuclear attack.,Jonathan Mostow
280, War of the Worlds,2005,1h 56m,PG-13,6.5,An alien invasion threatens the future of humanity. The catastrophic nightmare is depicted through the eyes of one American family fighting for survival.,Steven Spielberg
281, Munich,2005,2h 44m,R,7.5,"After the Black September capture and massacre of Israeli athletes at the 1972 Olympics, five men are chosen to eliminate the people responsible for that fateful day.",Steven Spielberg
282, Hulk,2003,2h 18m,PG-13,5.6,"Bruce Banner, a genetics researcher with a tragic past, suffers a lab accident that makes him transform into a raging, giant green monster when angered, making him a target of forces seeking to abuse his power.",Ang Lee
283, Click,2006,1h 47m,PG-13,6.4,A workaholic architect finds a universal remote that allows him to fast-forward and rewind to different parts of his life. Complications arise when the remote starts to overrule his choices.,Frank Coraci
284, Beowulf,2007,1h 55m,PG-13,6.3,"The warrior Beowulf must fight and defeat the monster Grendel, who is terrorizing Denmark, then Grendel's Mother, who begins killing out of revenge.",Robert Zemeckis
285, The Matrix Revolutions,2003,2h 9m,R,6.7,The human city of Zion defends itself against the massive invasion of the machines as Neo fights to end the war at another front while also opposing the rogue Agent Smith.,Lana Wachowski
286, Batman Forever,1995,2h 1m,PG-13,5.4,"Batman must battle former district attorney Harvey Dent, who is now Two-Face and Edward Nygma, The Riddler with help from an amorous psychologist and a young circus acrobat who becomes his sidekick, Robin.",Joel Schumacher
287, The Patriot,2000,2h 45m,R,7.2,Peaceful farmer Benjamin Martin is driven to lead the Colonial Militia during the American Revolution when a sadistic British officer murders his son.,Roland Emmerich
288, The Transporter,2002,1h 32m,PG-13,6.8,"Frank Martin, who ""transports"" packages for unknown clients, is asked to move a package that soon begins moving, and complications arise.",Louis Leterrier
289, Bad Boys,1995,1h 59m,R,6.8,Two hip detectives protect a witness to a murder while investigating a case of stolen heroin from the evidence storage room from their police precinct.,Michael Bay
290, Green Street Hooligans,2005,1h 49m,R,7.4,"A wrongfully expelled Harvard undergrad moves to London, where he is introduced to the violent underworld of football hooliganism.",Lexi Alexander
291, The Mist,2007,2h 6m,R,7.1,"A freak storm unleashes a species of bloodthirsty creatures on a small town, where a small band of citizens hole up in a supermarket and fight for their lives.",Frank Darabont
292, Friday the 13th,2009,1h 37m,R,5.5,A group of young adults visit a boarded up campsite named Crystal Lake where they soon encounter the mysterious Jason Voorhees and his deadly intentions.,Marcus Nispel
293, The Godfather Part III,1990,2h 42m,R,7.6,"Follows Michael Corleone, now in his 60s, as he seeks to free his family from crime and find a suitable successor to his empire.",Francis Ford Coppola
294, Toy Story 2,1999,1h 32m,G,7.9,"When Woody is stolen by a toy collector, Buzz and his friends set out on a rescue mission to save Woody before he becomes a museum toy property with his roundup gang Jessie, Prospector, and Bullseye.",John Lasseter
295, King Arthur,2004,2h 6m,PG-13,6.3,A demystified take on the tale of King Arthur and the Knights of the Round Table.,Antoine Fuqua
296, Insomnia,2002,1h 58m,R,7.2,"Will Dormer, a police detective, is sent to investigate a teenage girl's murder to a small fishing town where he accidentally shoots his co-detective and is afflicted by insomnia brought by the guilt.",Christopher Nolan
297, Crank,2006,1h 28m,R,6.9,Professional assassin Chev Chelios learns his rival has injected him with a poison that will kill him if his heart rate drops.,Mark Neveldine
298, Gone in 60 Seconds,2000,1h 58m,PG-13,6.5,A retired master car thief must come back to the industry and steal fifty cars with his crew in one night to save his brother's life.,Dominic Sena
299, 50 First Dates,2004,1h 39m,PG-13,6.8,Henry Roth is a man afraid of commitment until he meets the beautiful Lucy. They hit it off and Henry think he's finally found the girl of his dreams until discovering she has short-term memory loss and forgets him the next day.,Peter Segal
